Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,11900,Digital Imaging,202210,Fall 2021,001,11946,"Poer, Sara J.",53.3%,13.3%,,,,,13.3%,6.7%,,,,,,,,,6.7%,,,,,,,,,6.7%,,,,
,,,,,,002,16956,"Dean, Katherine E.",40.0%,,,,6.7%,,20.0%,6.7%,,13.3%,,,6.7%,,,,,,,,,,,,,6.7%,,,,
,,12500,Intro To Int Design,202210,Fall 2021,002,26083,"Bulow, Hannah K.",33.7%,19.4%,,,16.3%,5.1%,6.1%,5.1%,2.0%,4.1%,1.0%,,,,3.1%,,,,,,1.0%,,,,,3.1%,,,,
,,20000,Beginning Painting,202210,Fall 2021,001,10222,"Gick, Charles A.",25.0%,50.0%,,,,8.3%,16.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10221,"Gick, Charles A.",25.0%,41.7%,8.3%,,8.3%,,8.3%,,,,,,,,,,8.3%,,,,,,,,,,,,,
,,20100,Art For Elem Schl Tchr,202210,Fall 2021,001,10224,"Vickers, Heather G.",94.7%,,,,,,,,,,,,,,,,,,,,,,,,,5.3%,,,,
,,,,,,003,10226,"Vickers, Heather G.",94.7%,,,,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,10223,"Vickers, Heather G.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,009,17870,"Vickers, Heather G.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20200,Intro To Art Education,202210,Fall 2021,001,11875,"Sabol, Frank R.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20500,Design III,202210,Fall 2021,002,48766,"Ko, Hyo Sun",6.7%,40.0%,,,26.7%,6.7%,13.3%,,,,,,,,6.7%,,,,,,,,,,,,,,,
,,,,,,004,16992,"Ko, Hyo Sun",26.7%,13.3%,,,13.3%,6.7%,26.7%,,,6.7%,,,,,,,,,,,,,,,,6.7%,,,,
,,21300,Life Drawing I,202210,Fall 2021,003,13062,"Wuenschel, Christine L.",33.3%,8.3%,,,16.7%,8.3%,25.0%,,,8.3%,,,,,,,,,,,,,,,,,,,,
,,,,,,004,12633,"Penington, Eric A.",33.3%,25.0%,,,8.3%,8.3%,16.7%,,,8.3%,,,,,,,,,,,,,,,,,,,,
,,22000,Computers In Art,202210,Fall 2021,001,14666,"Hitselberger, Brian J.",40.0%,20.0%,,,13.3%,,13.3%,,,,,,,,,,,,,,,,,,,13.3%,,,,
,,22600,History Of Art To 1400,202210,Fall 2021,001,15434,"Parrish, David C.",45.7%,16.0%,19.8%,,8.6%,,4.9%,1.2%,,,1.2%,,,,1.2%,,,,,,,,,,,1.2%,,,,
,,22700,Hist Of Art Since 1400,202210,Fall 2021,001,11506,"Brandt, Allie K.",23.9%,18.5%,29.3%,,5.4%,6.5%,10.9%,,1.1%,,,,1.1%,,,,,,,,1.1%,,,,,2.2%,,,,
,,22800,VCD Computing I,202210,Fall 2021,002,48767,"Roger-Hogan, Felicia J.",6.3%,37.5%,31.3%,,6.3%,,12.5%,,,,,,,,,,,,,,,,,,,6.3%,,,,
,,,,,,003,18037,"Roger-Hogan, Felicia J.",26.7%,40.0%,6.7%,,6.7%,,6.7%,,,,,,,,13.3%,,,,,,,,,,,,,,,
,,,,,,004,26324,"Ko, Hyo Sun",18.8%,25.0%,,,25.0%,12.5%,6.3%,,,,,6.3%,,,6.3%,,,,,,,,,,,,,,,
,,23000,Interior Design I,202210,Fall 2021,002,67425,"Woolley, Kevin H.",,41.7%,,,25.0%,8.3%,16.7%,,,,,,,,8.3%,,,,,,,,,,,,,,,
,,,,,,003,13064,"Woolley, Kevin H.",33.3%,25.0%,,,,8.3%,25.0%,,8.3%,,,,,,,,,,,,,,,,,,,,,
,,23300,Electronic Media Studio,202210,Fall 2021,001,62874,"Winkler, Fabian",25.0%,18.8%,18.8%,,12.5%,6.3%,6.3%,,,6.3%,6.3%,,,,,,,,,,,,,,,,,,,
,,,,,,002,11926,"Aghazadeh, Mehran",29.4%,23.5%,17.6%,,,,29.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,23079,"Aghazadeh, Mehran",40.0%,20.0%,6.7%,,6.7%,6.7%,6.7%,,,6.7%,6.7%,,,,,,,,,,,,,,,,,,,
,,24000,Int Draft & Draw,202210,Fall 2021,003,13069,"Eggers, Stevi M.",25.0%,41.7%,16.7%,,,8.3%,,8.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,13070,"Eggers, Stevi M.",38.5%,30.8%,,,,,,,7.7%,15.4%,,,,,7.7%,,,,,,,,,,,,,,,
,,24200,Ceramics I,202210,Fall 2021,001,10264,"Peterson, Jessica M.",53.3%,13.3%,13.3%,,6.7%,,,,,,,,,,6.7%,,,,,,,,,,,6.7%,,,,
,,,,,,002,10263,"Peterson, Jessica M.",26.7%,13.3%,46.7%,,6.7%,,,,,,,,,,,,,,,,,,,,,6.7%,,,,
,,,,,,003,10265,"Brown, Desirae R.",42.9%,,42.9%,,,,14.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,27264,"Zahner, Sigrid K.",14.3%,21.4%,21.4%,,7.1%,,21.4%,,,,,7.1%,,,7.1%,,,,,,,,,,,,,,,
,,24600,Design Drawing II,202210,Fall 2021,004,14637,"Ghafari Harivand, Raman",38.5%,23.1%,15.4%,,7.7%,,15.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,14638,"Ghafari Harivand, Raman",18.8%,31.3%,12.5%,,6.3%,6.3%,18.8%,,6.3%,,,,,,,,,,,,,,,,,,,,,
,,25100,History Of Photo I,202210,Fall 2021,001,11947,"Craven, Eli J.",64.3%,7.1%,21.4%,,,7.1%,,,,,,,,,,,,,,,,,,,,,,,,
,,25500,Art Appreciation,202210,Fall 2021,002,10272,"Poer, Sara J.",81.6%,,,,13.2%,2.6%,2.6%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,22182,"Uhlig, Susan D.",72.5%,2.5%,,,5.0%,,7.5%,,,,,2.5%,,,5.0%,,,,,,2.5%,,,,,2.5%,,,,
,,,,,,Y04,21859,"Uhlig, Susan D.",77.5%,,,,,,2.5%,5.0%,,,2.5%,,,,5.0%,,,,2.5%,,,,,,,5.0%,,,,
,,26200,Jewelry & Metalwork I,202210,Fall 2021,001,10277,"Mohl, Jessica S.",71.4%,14.3%,,,7.1%,,,,,,,,,,,,,,,,7.1%,,,,,,,,,
,,,,,,002,10278,"Mohl, Jessica S.",57.1%,35.7%,,,,,,,,7.1%,,,,,,,,,,,,,,,,,,,,
,,26600,Silkscreen Printmaking,202210,Fall 2021,004,12741,"Scheuer, Jennifer",81.8%,,,,,,9.1%,,,,,9.1%,,,,,,,,,,,,,,,,,,
,,26700,Digital Media I,202210,Fall 2021,004,13075,"Huang, I-Lun",20.0%,46.7%,,,6.7%,6.7%,,,,,,,,,13.3%,,,,,,,,,,,6.7%,,,,
,,,,,,005,16595,"Dean, Katherine E.",26.7%,13.3%,,,13.3%,,20.0%,,6.7%,6.7%,,,,,6.7%,,,,,,,,,,,,6.7%,,,
,,30500,Industrial Design I,202210,Fall 2021,001,10289,"Sohn, Jung J.",23.5%,47.1%,23.5%,,,,5.9%,,,,,,,,,,,,,,,,,,,,,,,
,,31500,Design Methodology,202210,Fall 2021,001,10292,"Visser, Steve C.",23.5%,35.3%,17.6%,,11.8%,,11.8%,,,,,,,,,,,,,,,,,,,,,,,
,,31800,Fnd Inter Multimed Dsg,202210,Fall 2021,001,10293,"Deal, James David",20.0%,,73.3%,,,,6.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10294,"Deal, James David",14.3%,28.6%,42.9%,,,,,,7.1%,,,,,,,,,,,,,,,,,7.1%,,,,
,,33000,Interior Design III,202210,Fall 2021,002,12509,"Bittner, Laura E.",63.6%,9.1%,,,9.1%,,,,9.1%,,,,,,,,9.1%,,,,,,,,,,,,,
,,,,,,003,12748,"Bittner, Laura E.",25.0%,25.0%,,,16.7%,,8.3%,16.7%,8.3%,,,,,,,,,,,,,,,,,,,,,
,,33200,Visual Commun Design I,202210,Fall 2021,001,10302,"Deal, James David",15.4%,15.4%,61.5%,,,7.7%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10301,"Kim, Hyungjoo A.",35.7%,14.3%,,,7.1%,7.1%,21.4%,,,,,,,,7.1%,,,,,,,,,,,7.1%,,,,
,,33400,New Media Culture,202210,Fall 2021,001,22225,"Mcmullen, Shannon C.",42.9%,21.4%,17.9%,,7.1%,,3.6%,,,3.6%,,,,,,,,,,,,,,,,3.6%,,,,
,,33800,Adv Interior Design Com,202210,Fall 2021,003,13474,"Chae, Jae H.",7.7%,53.8%,,,15.4%,,15.4%,7.7%,,,,,,,,,,,,,,,,,,,,,,
,,33900,20th Century Women Artists,202210,Fall 2021,001,12846,"Dossin, Catherine",10.5%,23.7%,2.6%,,13.2%,13.2%,21.1%,2.6%,5.3%,2.6%,2.6%,,2.6%,,,,,,,,,,,,,,,,,
,,34300,Northern Renaissance Art,202210,Fall 2021,001,16281,"Martin, Linda M.",9.5%,14.3%,19.0%,,9.5%,4.8%,14.3%,9.5%,4.8%,4.8%,4.8%,,,,,,,,,,,,,,,4.8%,,,,
,,34700,Lighting Interior Environments,202210,Fall 2021,001,14205,"Bittner, Laura E.",23.8%,33.3%,,,4.8%,4.8%,9.5%,,9.5%,,,,,,9.5%,,4.8%,,,,,,,,,,,,,
,,34800,History Of Islamic Art,202210,Fall 2021,001,16295,"Parrish, David C.",31.6%,5.3%,57.9%,,,,5.3%,,,,,,,,,,,,,,,,,,,,,,,
,,38300,Modern Art,202210,Fall 2021,001,10308,"Dossin, Catherine",16.1%,10.7%,10.7%,,17.9%,8.9%,17.9%,1.8%,1.8%,3.6%,,1.8%,7.1%,,,,,,,,,,,,,1.8%,,,,
,,39500,History Of Design,202210,Fall 2021,001,10309,"Kaufmann-Buhler, Jennifer B.",19.4%,15.3%,22.2%,,13.9%,5.6%,5.6%,9.7%,2.8%,1.4%,2.8%,,1.4%,,,,,,,,,,,,,,,,,
,,39700,Sustainability Built Envirnmnt,202210,Fall 2021,001,38946,"Bittner, Laura E.",45.5%,24.2%,,,9.1%,3.0%,9.1%,6.1%,,,,,,,,,,,,,,,,,,3.0%,,,,
,,40500,Industrial Design III,202210,Fall 2021,002,53498,"Bahler, Jordan R.",15.4%,38.5%,15.4%,,,15.4%,15.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,16359,"Bahler, Jordan R.",25.0%,41.7%,,,,,33.3%,,,,,,,,,,,,,,,,,,,,,,,
,,41500,Professional Techniqes,202210,Fall 2021,001,10312,"Kim, Tong J.",54.5%,27.3%,18.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,16364,"Kim, Tong J.",42.9%,,50.0%,,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,41700,"Robots, Art, And Culture",202210,Fall 2021,001,16370,"Winkler, Fabian",25.0%,18.8%,25.0%,,6.3%,,18.8%,,,,,,6.3%,,,,,,,,,,,,,,,,,
,,43100,Visual Comm Design III,202210,Fall 2021,001,10316,"Zhang, Li",9.1%,18.2%,27.3%,,9.1%,,36.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,10317,"Zhang, Li",20.0%,20.0%,33.3%,,,,26.7%,,,,,,,,,,,,,,,,,,,,,,,
,,43400,VCD Profession Practice,202210,Fall 2021,001,13085,"Deal, James David",69.2%,,26.9%,,,,3.8%,,,,,,,,,,,,,,,,,,,,,,,
,,47800,Intern Art And Design,202210,Fall 2021,001,10322,"Kim, Tong J.",76.9%,7.7%,,,5.1%,,5.1%,,,,,,,,,,,,,,,,,,,5.1%,,,,
,,52200,Interaction Design Evaluation,202210,Fall 2021,001,16399,"Qian, Zhen Yu",25.0%,37.5%,6.3%,,18.8%,,12.5%,,,,,,,,,,,,,,,,,,,,,,,
AFT,AFT-Aerospace Studies,11000,Foundations Of AF I,202210,Fall 2021,001,10499,"Kirk, Jordan T.",96.0%,,,,,,,,,,,,,,,,,,,,,,,,,4.0%,,,,
,,,,,,003,10501,"Kirk, Jordan T.",86.2%,3.4%,,,,,,,,,,,,,3.4%,,,,,,,,,,,6.9%,,,,
,,,,,,004,65283,"Kirk, Jordan T.",91.3%,,,,,,,,,,4.3%,,4.3%,,,,,,,,,,,,,,,,,
,,11100,AFROTC Ldrshp Lab I,202210,Fall 2021,001,46432,"Jansta, John F.",,,,,,,,,,,,,,,,,,,2.6%,,92.1%,,,,,5.3%,,,,
,,,,,,002,46436,"Jansta, John F.",,,,,,,,,,,,,,,,,,,9.1%,,84.8%,,,,,6.1%,,,,
,,23000,Evol Air & Space Pwr I,202210,Fall 2021,003,16771,"Willis, Adam J.",45.8%,29.2%,,,8.3%,,8.3%,,,,,,,,,,,,,,,,,,,8.3%,,,,
,,,,,,004,16772,"Willis, Adam J.",82.8%,10.3%,,,6.9%,,,,,,,,,,,,,,,,,,,,,,,,,
,,23100,AFROTC Ldrshp Lab III,202210,Fall 2021,001,46433,"Jansta, John F.",,,,,,,,,,,,,,,,,,,,,96.6%,,,,,3.4%,,,,
,,,,,,002,46430,"Jansta, John F.",,,,,,,,,,,,,,,,,,,,,91.7%,,,,,8.3%,,,,
,,35100,AF Leadershp Studies I,202210,Fall 2021,002,10509,"Ausserer, Joseph K.",60.0%,13.3%,13.3%,,6.7%,,6.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,16767,"Ausserer, Joseph K.",55.6%,16.7%,27.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35200,AFROTC Ldrshp Lab V,202210,Fall 2021,001,46434,"Jansta, John F.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,,,,,002,46437,"Jansta, John F.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,47100,Natl Security Affair I,202210,Fall 2021,001,10512,"Callahan, Kenneth",90.6%,,9.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,003,16765,"Callahan, Kenneth",96.7%,,3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47200,AFROTC Ldrshp Lab VII,202210,Fall 2021,001,46435,"Jansta, John F.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,,,,,002,46431,"Jansta, John F.",,,,,,,,,,,,,,,,,,,3.8%,,96.2%,,,,,,,,,
AGEC,AGEC-Agricultural Economics,20200,Spreadsht Use Agr Bus,202210,Fall 2021,001,24453,"Kim, Sung W.",28.4%,17.6%,,,9.5%,9.5%,5.4%,2.7%,1.4%,5.4%,1.4%,1.4%,4.1%,,4.1%,,,,,,,,,,,9.5%,,,,
,,20300,Microecon Food & Agbus,202210,Fall 2021,006,61752,"Lee, John G.",40.1%,0.6%,0.6%,,38.4%,,,14.0%,,,3.5%,,,,2.3%,,,,,,,,,,,0.6%,,,,
,,,,,,008,17532,"Delay, Nathan D.",30.0%,,,,46.0%,,,17.0%,,,3.0%,,,,1.0%,,,,,,,,,,,3.0%,,,,
,,,Microecon Food & Agbus-Honors,202210,Fall 2021,008,17532,"Delay, Nathan D.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21700,Economics,202210,Fall 2021,001,10520,"Vazquez, Jose J.",26.4%,16.2%,28.1%,,10.2%,0.7%,8.9%,0.7%,1.0%,1.0%,1.3%,,1.3%,,3.6%,,,,,,,,,,,0.7%,,,,
,,,,,,Y01,53420,"Vazquez, Jose J.",19.1%,12.7%,24.5%,,10.9%,2.7%,11.8%,1.8%,0.9%,5.5%,0.9%,,0.9%,,3.6%,,0.9%,,,,0.9%,,,,,2.7%,,,,
,,22000,Econ Of Agricultural Markets,202210,Fall 2021,001,10523,"Balagtas, Joseph V.",19.0%,23.0%,10.3%,,8.7%,10.3%,13.5%,,2.4%,4.0%,1.6%,2.4%,2.4%,,2.4%,,,,,,,,,,,,,,,
,,25000,Econ Geog World Food,202210,Fall 2021,001,10524,"Gulati, Kajal",34.0%,30.2%,7.5%,,5.7%,,15.1%,,,5.7%,,,,,,,,,,,,,,,,1.9%,,,,
,,26000,Mentoring Leadership,202210,Fall 2021,001,50861,"Oppy, Andrew E.",,,96.6%,,,,,,,,,,,,,,,,,,,,,,,3.4%,,,,
,,28900,Foundation Internship,202210,Fall 2021,001,11975,"Oppy, Andrew E.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,29600,Careers In Agribusiness,202210,Fall 2021,001,11977,"Lusk, Jayson L.",53.9%,,,,28.4%,2.9%,,3.9%,,,3.9%,,,,4.9%,,,,,,,,,,,2.0%,,,,
,,29800,Sophomore Seminar,202210,Fall 2021,003,54660,"Williams, Jennifer L.",29.9%,11.7%,33.8%,,5.2%,3.9%,9.1%,1.3%,,,,,1.3%,,1.3%,,,,,,,,,,,2.6%,,,,
,,,,,,004,66881,"Williams, Jennifer L.",33.8%,12.2%,23.0%,,8.1%,1.4%,4.1%,2.7%,,1.4%,1.4%,2.7%,1.4%,,4.1%,,,,,,,,,,,4.1%,,,,
,,30500,Agricultural Prices,202210,Fall 2021,002,59043,"Foster, Kenneth A.",14.9%,10.6%,8.5%,,12.8%,6.4%,6.4%,12.8%,4.3%,6.4%,,,2.1%,,,,,,,,14.9%,,,,,,,,,
,,32100,Principles Commodity Marketing,202210,Fall 2021,001,10536,"Mintert, James R.",20.0%,,,,28.0%,,9.3%,24.0%,,5.3%,9.3%,,2.7%,,,,,,1.3%,,,,,,,,,,,
,,32700,Prin Of Food & Agribus Mrkt,202210,Fall 2021,001,10102,"Katare, Bhagyashree",21.3%,21.3%,,,20.0%,2.7%,21.3%,2.7%,1.3%,2.7%,1.3%,,,,,,,,,,2.7%,,,,,2.7%,,,,
,,33000,Mgmt Methods Agr Bus,202210,Fall 2021,001,10537,"Brewer, Brady E.",10.2%,10.2%,4.8%,,11.6%,14.3%,6.8%,10.9%,6.8%,6.1%,8.2%,,,,4.8%,,,,,,1.4%,,,,,4.1%,,,,
,,,Mgmt Methods Agr Bus-Honors,202210,Fall 2021,001,10537,"Brewer, Brady E.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33100,Prin Of Industrial Selling,202210,Fall 2021,001,10538,"Downey, W S.",15.3%,20.3%,0.5%,,18.8%,8.9%,13.9%,5.4%,1.5%,4.0%,,0.5%,1.0%,,2.5%,,,,,,0.5%,,,,,6.9%,,,,
,,34000,Intl Econ Development,202210,Fall 2021,001,17139,"Gulati, Kajal",29.6%,16.7%,7.4%,,5.6%,1.9%,13.0%,,,,1.9%,3.7%,1.9%,,,,,,1.9%,,14.8%,,,,,1.9%,,,,
,,35200,Tech For Firm Decision,202210,Fall 2021,001,10214,"Keeney, Roman M.",40.8%,18.4%,4.1%,,24.5%,2.0%,8.2%,2.0%,,,,,,,,,,,,,,,,,,,,,,
,,40600,Nat Res & Envir Econ,202210,Fall 2021,001,10543,"Reeling, Carson J.",7.5%,10.4%,4.5%,,13.4%,6.0%,,6.0%,7.5%,7.5%,10.4%,3.0%,4.5%,,13.4%,,,,,,4.5%,,,,,1.5%,,,,
,,,Nat Res & Envir Econ-Honors,202210,Fall 2021,001,10543,"Reeling, Carson J.",,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41100,Farm Management,202210,Fall 2021,001,10544,"Thompson, Nathanael M.",83.0%,,,,14.9%,,,,,,2.1%,,,,,,,,,,,,,,,,,,,
,,42400,Finan Mgt Agr Bus,202210,Fall 2021,001,10547,"Tolhurst, Tor N.",13.6%,20.3%,11.9%,,15.3%,8.5%,16.9%,1.7%,,5.1%,,,,,3.4%,,,,,,,,,,,3.4%,,,,
,,42500,Est Plan Prop Transfer,202210,Fall 2021,001,56337,"Harper, Cecelia N.",16.3%,27.9%,4.7%,,11.6%,9.3%,11.6%,4.7%,,11.6%,,,,,2.3%,,,,,,,,,,,,,,,
,,42700,Adv Agribusn Marketing,202210,Fall 2021,001,53147,"Marshall, Maria I.",11.5%,15.4%,46.2%,,7.7%,,19.2%,,,,,,,,,,,,,,,,,,,,,,,
,,43000,Agr&Food Bus Strategy,202210,Fall 2021,001,10235,"Craig, Dana D.",32.4%,8.8%,,,23.5%,5.9%,23.5%,,,5.9%,,,,,,,,,,,,,,,,,,,,
,,43100,Adv Ind Sales And Marketing,202210,Fall 2021,001,53421,"Cochran, Amy L.",62.5%,16.7%,,,,,20.8%,,,,,,,,,,,,,,,,,,,,,,,
,,45100,Applied Econometrics,202210,Fall 2021,001,62881,"Kim, Sung W.",66.7%,8.3%,,,8.3%,,16.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,Applied Econometrics-Honors,202210,Fall 2021,001,62881,"Kim, Sung W.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45500,Agricultural Law,202210,Fall 2021,001,12068,"Correll, Sarah K.",79.2%,,8.3%,,4.2%,,4.2%,,,,,,,,,,,,,,,,,,,4.2%,,,,
,,45600,Federal Income Tax Law,202210,Fall 2021,001,10121,"Langemeier, Michael R.",6.3%,9.4%,3.1%,,25.0%,6.3%,9.4%,12.5%,3.1%,15.6%,3.1%,3.1%,,,3.1%,,,,,,,,,,,,,,,
,,51600,Math For Applied Econ,202210,Fall 2021,001,59898,"Ma, Meilin",28.6%,14.3%,7.1%,,14.3%,21.4%,14.3%,,,,,,,,,,,,,,,,,,,,,,,
,,52500,Environmtl Policy Anly,202210,Fall 2021,002,11794,"Sesmero, Juan P.",13.3%,20.0%,40.0%,,,,26.7%,,,,,,,,,,,,,,,,,,,,,,,
,,55200,Intro Math Programming,202210,Fall 2021,004,54758,"Keeney, Roman M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGR,AGR-Agriculture,10100,Intd To Agr And Purdue,202210,Fall 2021,004,13920,"Kerr, Timothy P.",50.9%,,,,35.1%,,,6.5%,,,4.7%,,,,2.5%,,,,,,,,,,,0.4%,,,,
,,,,,,005,13921,"Kerr, Timothy P.",48.0%,,,,29.1%,,,13.4%,,,5.0%,,,,2.8%,,,,,,,,,,,1.7%,,,,
,,,,,,SC1,12035,"Kerr, Timothy P.",61.7%,,,,24.6%,,,6.9%,,,1.7%,,,,5.1%,,,,,,,,,,,,,,,
,,10700,Pathway To Purdue,202210,Fall 2021,001,19178,"Nelson, Russell C.",62.5%,,,,4.2%,,,12.5%,,,4.2%,,,,12.5%,,,,,,,,,,,4.2%,,,,
,,10800,Agriculture Tech & Innovation,202210,Fall 2021,LC1,23057,"Buckmaster, Dennis R.",46.7%,,40.0%,,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,11100,Intro To ABE Programs,202210,Fall 2021,001,36231,"Engelberth, Nathan P.",88.0%,4.0%,,,,,4.0%,4.0%,,,,,,,,,,,,,,,,,,,,,,
,,11200,Intro To AGEC Programs,202210,Fall 2021,002,36232,"Oppy, Andrew E.",12.4%,9.5%,65.7%,,2.9%,3.8%,2.9%,,,,,,1.9%,,,,,,,,,,,,,1.0%,,,,
,,11300,Intro To AGRY Programs,202210,Fall 2021,001,36233,"Schweitzer, Lee E.",96.4%,,,,,,,,,,,,,,,,,,,,,,,,,3.6%,,,,
,,11400,Intro To ANSC Programs,202210,Fall 2021,004,36237,"York, Ashley R.",9.9%,7.1%,54.2%,,5.7%,5.2%,1.9%,0.5%,2.4%,3.3%,0.9%,1.9%,0.9%,,4.7%,,,,,,,,,,,1.4%,,,,
,,11500,Intro To BCHM Programs,202210,Fall 2021,002,11224,"Fornes, Heidi M.",26.1%,21.7%,39.1%,,4.3%,4.3%,4.3%,,,,,,,,,,,,,,,,,,,,,,,
,,11800,Intro To FS Programs,202210,Fall 2021,001,36241,"Mauer, Lisa J.",2.9%,11.4%,60.0%,,,2.9%,5.7%,,2.9%,,2.9%,,,,8.6%,,,,,,,,,,,2.9%,,,,
,,11900,Intro To FNR Programs,202210,Fall 2021,SC1,36242,"Doten, Casey L.",27.3%,15.2%,18.2%,,3.0%,6.1%,4.5%,3.0%,3.0%,3.0%,1.5%,6.1%,3.0%,,6.1%,,,,,,,,,,,,,,,
,,12000,Intro To HLA Programs,202210,Fall 2021,002,11624,"Dana, Michael N.",97.9%,,,,,,,,,,,,,,,,,,,,,,,,,2.1%,,,,
,,12100,Intro To ASEC Programs,202210,Fall 2021,003,54527,"Conrad, Amy K.",19.2%,3.8%,65.4%,,3.8%,,3.8%,,,,,3.8%,,,,,,,,,,,,,,,,,,
,,12200,Intro To NRES Programs,202210,Fall 2021,001,36246,"Bowling, Laura C.",7.5%,5.0%,57.5%,,2.5%,5.0%,17.5%,,,,,,,,5.0%,,,,,,,,,,,,,,,
,,12400,Intro To PRMD Programs,202210,Fall 2021,001,17160,"Kerr, Timothy P.",93.3%,,,,4.4%,,,,,,,,,,2.2%,,,,,,,,,,,,,,,
,,12500,Introduction To Plant Science,202210,Fall 2021,001,19404,"Anderson, Joseph M.",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15000,Woman In Agriculture I,202210,Fall 2021,LC3,27661,"Deering, Amanda J.",88.2%,,,,8.8%,,,,,,,,,,,,,,,,,,,,,2.9%,,,,
,,20100,Com Across Culture,202210,Fall 2021,001,10674,"Morris, Pamala V.",37.8%,18.9%,26.2%,,4.9%,1.2%,4.9%,0.6%,1.2%,,,,0.6%,,1.8%,,,,,,0.6%,,,,,1.2%,,,,
,,,,,,Y01,54639,"Morris, Pamala V.",31.8%,18.2%,6.8%,,9.1%,9.1%,9.1%,,4.5%,2.3%,2.3%,2.3%,,,,,,,,,,,,,,4.5%,,,,
,,29000,Dean's Scholars Seminar-Honors,202210,Fall 2021,H01,16686,"Byers-Doten, Elizabeth A.",87.8%,,,,10.2%,,,2.0%,,,,,,,,,,,,,,,,,,,,,,
,,29400,Drctd Read Habitude Transition,202210,Fall 2021,LC1,23198,"Boudreaux, Jacqueline I.",82.6%,,,,13.0%,,,4.3%,,,,,,,,,,,,,,,,,,,,,,
AGRY,AGRY-Agronomy,10500,Crop Production,202210,Fall 2021,001,10683,"Gerber, Corey K.",50.8%,,,,34.4%,,,4.9%,,,3.3%,,,,1.6%,,,,,,,,,,,4.9%,,,,
,,,Crop Production-Honors,202210,Fall 2021,001,10683,"Gerber, Corey K.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12500,Envirntal Sci & Conserv-Honors,202210,Fall 2021,001,12188,"Dukes, Jeffrey S.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Environmental Scienc & Conserv,202210,Fall 2021,001,12188,"Dukes, Jeffrey S.",9.3%,14.0%,4.7%,,18.6%,18.6%,14.0%,2.3%,2.3%,9.3%,2.3%,,2.3%,,,,,,,,,,,,,2.3%,,,,
,,25500,Soil Science,202210,Fall 2021,013,10735,"Rahmani, Shams Rahman R.",34.7%,,,,21.3%,,5.3%,12.0%,,10.7%,6.7%,,4.0%,,4.0%,,,,,,,,,,,1.3%,,,,
,,,,,,056,21967,"Rahmani, Shams Rahman R.",52.1%,,,,15.5%,,4.2%,16.9%,,2.8%,1.4%,,,,4.2%,,,,,,,,,,,2.8%,,,,
,,32000,Genetics,202210,Fall 2021,001,10762,"Mohammadi, Mohsen",10.9%,5.2%,5.7%,,13.0%,9.9%,14.1%,9.4%,5.2%,6.8%,3.1%,1.6%,4.7%,,5.2%,,0.5%,,,,0.5%,,,,,4.2%,,,,
