Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;006;20549;Gong, Ziqian;28.6%;28.6%;;;14.3%;;21.4%;;;;;;;;7.1%;;;;;;;;;
;;;;;;007;20550;Gong, Ziqian;20.0%;26.7%;;;;13.3%;20.0%;;;;;;;;13.3%;;;;;;;;6.7%;
;;;;;;010;18564;Olubodun, Emmanuel T.;35.3%;41.2%;;;11.8%;;11.8%;;;;;;;;;;;;;;;;;
;;11300;Basic Drawing;202620;Spring 2026;001;10210;Munafo, Isabelle M.;40.0%;26.7%;20.0%;;;;6.7%;;;;;;;;;;;;;;;;6.7%;
;;;;;;002;10206;Guerin, Carolyn M.;31.3%;18.8%;37.5%;;;;6.3%;;;;;;;;6.3%;;;;;;;;;
;;;;;;003;10204;Peterson, Jessica M.;21.4%;7.1%;50.0%;;;;;;;;;;;;;;7.1%;7.1%;;;;;7.1%;
;;;;;;004;10202;Munafo, Isabelle M.;50.0%;25.0%;12.5%;;6.3%;;;;;;;;;;6.3%;;;;;;;;;
;;;;;;005;10200;Jung, Hoijin;23.5%;29.4%;;5.9%;11.8%;5.9%;17.6%;5.9%;;;;;;;;;;;;;;;;
;;;;;;006;15693;Guerin, Carolyn M.;35.3%;17.6%;35.3%;;;;;;;;;;;;5.9%;;;;;;;;5.9%;
;;;;;;007;10205;Jung, Hoijin;14.3%;50.0%;14.3%;;;;7.1%;;;7.1%;;;;;;;;7.1%;;;;;;
;;;;;;008;10208;Kiekeben, Friedhard;25.0%;18.8%;37.5%;;;;6.3%;;;;;;;;;;;;;;;;12.5%;
;;;;;;009;15692;Jung, Hoijin;5.9%;17.6%;;;29.4%;11.8%;17.6%;;5.9%;5.9%;;;;;;;;;;;;;5.9%;
;;11400;Drawing II;202620;Spring 2026;001;10211;Choi, Jong-un;12.5%;12.5%;56.3%;;;;12.5%;;;;;;;;;;;;;;;;6.3%;
;;;Drawing II-Honors;202620;Spring 2026;001;10211;Choi, Jong-un;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;11700;Black And White Photography;202620;Spring 2026;001;46021;Wilkinson, Nathan A.;15.4%;15.4%;46.2%;;;;7.7%;;;;;;;;;;;;;;;;15.4%;
;;;;;;002;12958;Wilkinson, Nathan A.;40.0%;26.7%;13.3%;;;6.7%;6.7%;;;;;;;;;;;;;;;;6.7%;
;;11900;Color Photography;202620;Spring 2026;001;55617;Bell, Greta M.;66.7%;20.0%;;;;13.3%;;;;;;;;;;;;;;;;;;
;;;;;;002;39262;Ridgway, Victoria J.;35.7%;;28.6%;;;7.1%;;;;7.1%;;7.1%;;;;;;;;;;;14.3%;
;;;Color Photography-Honors;202620;Spring 2026;002;39262;Ridgway, Victoria J.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;13000;Interior Design Communication;202620;Spring 2026;001;41210;Bittner, Laura E.;40.0%;26.7%;;;20.0%;;6.7%;;;6.7%;;;;;;;;;;;;;;
;;;;;;003;27222;Bolisetty, Lochana;64.3%;14.3%;;;14.3%;;;;;7.1%;;;;;;;;;;;;;;
;;14600;Design Drawing I;202620;Spring 2026;001;10227;Zhou, Shankun;11.1%;16.7%;16.7%;;;;22.2%;;5.6%;;5.6%;;;;;5.6%;;;;;;;16.7%;
;;;;;;002;10228;Qaiser, Sundas;18.8%;;12.5%;;25.0%;;18.8%;6.3%;;;;;;;6.3%;;;;;;;;12.5%;
;;;;;;003;11488;Zhou, Shankun;11.1%;11.1%;50.0%;;5.6%;11.1%;;;;;5.6%;;;;5.6%;;;;;;;;;
;;;;;;005;33243;Qaiser, Sundas;35.3%;;23.5%;;5.9%;;11.8%;5.9%;5.9%;;5.9%;;;;;;;;;;;;5.9%;
;;20000;Beginning Painting;202620;Spring 2026;001;41718;Choi, Jong-un;33.3%;25.0%;33.3%;;;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;002;17905;Gick, Charles A.;33.3%;41.7%;;;;;16.7%;;;;;;;;;;;;;;;;8.3%;
;;20100;Art For Elem Schl Tchr;202620;Spring 2026;014;30462;Vickers, Heather G.;80.0%;;;;6.7%;;;;;;;;;;;;;;;;;;13.3%;
;;;;;;016;37194;Vickers, Heather G.;93.8%;;;;6.3%;;;;;;;;;;;;;;;;;;;
;;;;;;018;39264;Vickers, Heather G.;88.9%;;;;5.6%;;;;;;;;;;;;;;;;;;5.6%;
;;;Art For Elem Schl Tchr-Honors;202620;Spring 2026;014;30462;Vickers, Heather G.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20600;Studio In VCD;202620;Spring 2026;004;19067;Kim, Do Gyun;20.0%;13.3%;6.7%;;33.3%;;20.0%;;;;6.7%;;;;;;;;;;;;;
;;21300;Life Drawing I;202620;Spring 2026;002;14386;Penington, Eric A.;45.5%;45.5%;;;9.1%;;;;;;;;;;;;;;;;;;;
;;22700;Hist Of Art Since 1400;202620;Spring 2026;001;10255;Woodward, Elizabeth J.;24.5%;12.2%;16.3%;;10.2%;3.1%;10.2%;3.1%;1.0%;2.0%;;2.0%;1.0%;;8.2%;1.0%;;;;;;;5.1%;
;;;;;;002;10254;Brandt, Allie K.;13.4%;5.9%;75.6%;;1.7%;1.7%;1.7%;;;;;;;;;;;;;;;;;
;;22900;VCD Computing II;202620;Spring 2026;002;10260;Safari, Golnaz;25.0%;;50.0%;;8.3%;;8.3%;;;;;8.3%;;;;;;;;;;;;
;;;;;;003;39255;Safari, Golnaz;9.1%;27.3%;36.4%;;;9.1%;;;9.1%;;;;;;9.1%;;;;;;;;;
;;22901;Vis Commun Design Soph Review;202620;Spring 2026;003;19394;Kim, Hyungjoo A.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;23400;Art & Design Intern Prep;202620;Spring 2026;001;62901;Deal, James David;75.8%;8.1%;;;1.0%;3.0%;2.0%;;4.0%;2.0%;1.0%;;;;1.0%;;;;;;;;2.0%;
;;23500;Materials&Processes II;202620;Spring 2026;001;16799;Cha, Andrew J.;40.0%;20.0%;;;13.3%;6.7%;20.0%;;;;;;;;;;;;;;;;;
;;;;;;003;25999;Visser, Steve C.;21.4%;7.1%;7.1%;;14.3%;21.4%;21.4%;;;;;;;;7.1%;;;;;;;;;
;;23600;Lighting Fund For Photography;202620;Spring 2026;001;15702;Bell, Greta M.;50.0%;21.4%;;;7.1%;;14.3%;7.1%;;;;;;;;;;;;;;;;
;;24200;Ceramics I;202620;Spring 2026;001;10265;Peterson, Jessica M.;13.3%;13.3%;20.0%;;6.7%;;20.0%;6.7%;;;;;;;;;;20.0%;;;;;;
;;;;;;002;41854;Peterson, Julia M.;20.0%;20.0%;6.7%;;20.0%;;13.3%;;6.7%;;13.3%;;;;;;;;;;;;;
;;;;;;003;24155;Zahner, Sigrid K.;69.2%;;15.4%;;;;;;;;;;;;;;;7.7%;;;;;7.7%;
;;25000;Interior Design II;202620;Spring 2026;004;13393;Bulow, Hannah K.;12.5%;31.3%;;;25.0%;18.8%;;;6.3%;;;;;;6.3%;;;;;;;;;
;;;;;;005;38890;Bulow, Hannah K.;33.3%;25.0%;;;8.3%;16.7%;8.3%;8.3%;;;;;;;;;;;;;;;;
;;25001;Inter Design Sophomore Review;202620;Spring 2026;001;19385;Bittner, Laura E.;;;;;;;;;;;;;;;;;;;;94.4%;;2.8%;2.8%;
;;25500;Art Appreciation;202620;Spring 2026;001;10271;Dossin, Catherine;17.1%;20.0%;5.7%;;5.7%;14.3%;2.9%;8.6%;;5.7%;2.9%;;2.9%;;5.7%;;;2.9%;;;;;5.7%;
;;;;;;005;10425;Hitselberger, Brian J.;23.3%;16.3%;25.6%;;7.0%;;9.3%;4.7%;4.7%;;;;2.3%;;;;;;;;;;7.0%;
;;;;;;006;36806;Vickers, Heather G.;78.0%;;;;7.3%;;;2.4%;;;2.4%;;;;7.3%;;;2.4%;;;;;;
;;;;;;007;36807;Brown, Desirae R.;60.0%;7.5%;;;5.0%;;5.0%;5.0%;;5.0%;2.5%;;2.5%;;2.5%;;;;;;;;5.0%;
;;25600;Presentation Technique;202620;Spring 2026;002;10275;Sohn, Jung J.;38.5%;30.8%;;;7.7%;7.7%;;;7.7%;7.7%;;;;;;;;;;;;;;
;;;;;;003;16752;Sohn, Jung J.;23.1%;38.5%;;;;30.8%;;;;;;;;;;;;;;;;;7.7%;
;;;;;;004;32424;Lai, Chia-hsuan;7.7%;7.7%;;;15.4%;23.1%;7.7%;7.7%;7.7%;15.4%;;;7.7%;;;;;;;;;;;
;;25601;Industr Design Soph Review;202620;Spring 2026;001;19374;Visser, Steve C.;;;;;;;;;;;;;;;;;;;;54.5%;;38.6%;6.8%;
;;26001;Adv Drafting And Visualization;202620;Spring 2026;001;39276;Young, Barbara L.;41.7%;16.7%;;;;8.3%;16.7%;;8.3%;8.3%;;;;;;;;;;;;;;
;;26200;Jewelry & Metalwork I;202620;Spring 2026;002;10279;Mohl, Jessica S.;50.0%;7.1%;21.4%;;;;21.4%;;;;;;;;;;;;;;;;;
;;;;;;003;18577;Mohl, Jessica S.;57.1%;7.1%;7.1%;;;;28.6%;;;;;;;;;;;;;;;;;
;;26500;Relief Printmaking;202620;Spring 2026;001;10282;Nielsen, Zoe N.;36.4%;27.3%;;;;9.1%;18.2%;;;;;;;;;;;;;;;;9.1%;
;;26700;Digital Imaging;202620;Spring 2026;001;19435;Ridgway, Victoria J.;21.4%;;64.3%;;;;7.1%;;;;;;;;;;;;;;;;7.1%;
;;;;;;002;21166;Ridgway, Victoria J.;13.3%;;73.3%;;;;;;;;;;;;6.7%;;;;;;;;6.7%;
;;27500;Beginning Sculpture;202620;Spring 2026;001;15726;Peterson, Jessica M.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;;Beginning Sculpture-Honors;202620;Spring 2026;001;15726;Peterson, Jessica M.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;28000;Human Behavior And Design Envr;202620;Spring 2026;001;10198;In, Yong Kyung;21.4%;45.2%;;;14.3%;;14.3%;;;;2.4%;;;;2.4%;;;;;;;;;
;;28500;Inter Comp & Materials;202620;Spring 2026;001;10286;Bittner, Laura E.;5.6%;25.0%;;;44.4%;11.1%;5.6%;2.8%;2.8%;2.8%;;;;;;;;;;;;;;
;;;Inter Comp & Materials-Honors;202620;Spring 2026;001;10286;Bittner, Laura E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;30400;Video Art;202620;Spring 2026;001;58259;Terrell, Michael S.;18.8%;18.8%;56.3%;;;6.3%;;;;;;;;;;;;;;;;;;
;;;;;;002;11167;Winkler, Fabian;40.0%;33.3%;6.7%;;;;20.0%;;;;;;;;;;;;;;;;;
;;;;;;003;26176;Winkler, Fabian;35.7%;7.1%;21.4%;;7.1%;;21.4%;;;7.1%;;;;;;;;;;;;;;
;;30600;Industrial Design II;202620;Spring 2026;001;10294;Tarling, Marc N.;58.3%;16.7%;16.7%;;;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;002;14553;Tarling, Marc N.;50.0%;25.0%;8.3%;;;;8.3%;;;;;;;;8.3%;;;;;;;;;
;;30701;Contemporary Photography;202620;Spring 2026;001;18580;Dean, Katherine E.;50.0%;11.1%;16.7%;;;;5.6%;;5.6%;5.6%;;;;;5.6%;;;;;;;;;
;;31400;Experimental Drawing;202620;Spring 2026;001;34191;Penington, Eric A.;66.7%;16.7%;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;Experimental Drawing-Honors;202620;Spring 2026;001;34191;Penington, Eric A.;50.0%;;50.0%;;;;;;;;;;;;;;;;;;;;;
;;31600;Semnr Indust Des I;202620;Spring 2026;001;13594;Feng, Anran;27.3%;27.3%;9.1%;;18.2%;;18.2%;;;;;;;;;;;;;;;;;
;;;;;;002;38934;Feng, Anran;30.8%;23.1%;7.7%;;7.7%;;23.1%;;;;;;;;7.7%;;;;;;;;;
;;34000;Furniture Development;202620;Spring 2026;002;28841;Marchese, David A.;60.9%;21.7%;13.0%;;;;;;;;;;;;4.3%;;;;;;;;;
;;34600;Italian Renaissance Art;202620;Spring 2026;001;26182;Woodward, Elizabeth J.;21.9%;15.6%;6.3%;;6.3%;;25.0%;6.3%;3.1%;6.3%;;;;;3.1%;;;;;;;;6.3%;
;;35000;Interior Design IV;202620;Spring 2026;001;10301;In, Yong Kyung;12.5%;12.5%;;;31.3%;6.3%;37.5%;;;;;;;;;;;;;;;;;
;;;;;;002;13855;In, Yong Kyung;11.8%;23.5%;;;23.5%;17.6%;17.6%;5.9%;;;;;;;;;;;;;;;;
;;36200;Jewelry And Metalwork;202620;Spring 2026;001;20167;Mohl, Jessica S.;54.5%;9.1%;;;18.2%;9.1%;9.1%;;;;;;;;;;;;;;;;;
;;36600;Visual Commu Design II;202620;Spring 2026;001;10305;Deal, James David;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;38400;Contemporary Art;202620;Spring 2026;001;10310;Dossin, Catherine;13.0%;24.1%;3.7%;;14.8%;9.3%;7.4%;5.6%;9.3%;3.7%;;1.9%;1.9%;;;;;;;;;;5.6%;
;;38500;History Of Int Design;202620;Spring 2026;001;28445;Kaufmann-Buhler, Jennifer B.;20.3%;23.4%;3.1%;;15.6%;10.9%;6.3%;4.7%;;6.3%;;;1.6%;;3.1%;;;;;;;;4.7%;
;;38900;Intro To Curatorial Practices;202620;Spring 2026;001;39267;Gotway, Kirstin M.;50.0%;16.7%;30.0%;;;;;;;;;3.3%;;;;;;;;;;;;
;;40200;Art In Secondary Schl;202620;Spring 2026;001;17509;Sabol, Frank R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;40600;Industrial Design IV;202620;Spring 2026;001;10316;Kim, Tong J.;31.8%;9.1%;50.0%;;;;9.1%;;;;;;;;;;;;;;;;;
;;41600;Sem Ideas Industrial Design II;202620;Spring 2026;001;63673;Tarling, Marc N.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;43200;Visual Comm Design IV;202620;Spring 2026;001;10302;Zhang, Li;53.3%;20.0%;6.7%;;;;20.0%;;;;;;;;;;;;;;;;;
;;;;;;002;26673;Zhang, Li;61.5%;38.5%;;;;;;;;;;;;;;;;;;;;;;
;;44000;Inter Detail & Const;202620;Spring 2026;001;62998;Ebbini, Genell W.;40.0%;40.0%;;;4.0%;8.0%;4.0%;;;4.0%;;;;;;;;;;;;;;
;;46500;Professional Practice;202620;Spring 2026;X01;10361;Bulow, Hannah K.;76.0%;8.0%;;;8.0%;;8.0%;;;;;;;;;;;;;;;;;
;;47800;Intern Art And Design;202620;Spring 2026;001;10363;Instructor, Off Campus;88.9%;5.6%;;;;;;;;;;;;;;;;;;;;;5.6%;
;;49900;Studio Arts Prof Prac/Sr Exh;202620;Spring 2026;001;63053;Craven, Eli J.;32.0%;8.0%;52.0%;;;;8.0%;;;;;;;;;;;;;;;;;
;;52000;Visual Design Service;202620;Spring 2026;002;12687;Deal, James David;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;26690;Deal, James David;81.3%;;18.8%;;;;;;;;;;;;;;;;;;;;;
;;55000;Res Meth In Art&Dsgn;202620;Spring 2026;001;41124;Mcmullen, Shannon C.;63.6%;36.4%;;;;;;;;;;;;;;;;;;;;;;
AFT;AFT-Aerospace Studies;12000;Heritage And Values II;202620;Spring 2026;001;10534;Bond, Brian;69.0%;3.4%;20.7%;;;;6.9%;;;;;;;;;;;;;;;;;
;;;;;;003;10536;Bond, Brian;47.6%;4.8%;23.8%;;4.8%;;9.5%;;;;;;;;;;;;;;;;9.5%;
;;20220;Air Force ROTC Lead Lab;202620;Spring 2026;001;20041;Goodner, Allison N.;;;;;;;;;;;;;;;;;;95.6%;;;;;4.4%;
;;24000;Team & Ldrshp Fund II;202620;Spring 2026;001;10538;Goodner, Allison N.;92.3%;7.7%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;10539;Goodner, Allison N.;85.7%;4.8%;;;;;4.8%;;;;;;;;;;;;;;;;4.8%;
;;36100;Leading Ppl & Effect Comm II;202620;Spring 2026;001;10541;Mcarthur, Paul G.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;38462;Mcarthur, Paul G.;90.0%;;;;;;10.0%;;;;;;;;;;;;;;;;;
;;40220;Air Force ROTC Lead Lab;202620;Spring 2026;001;20038;Goodner, Allison N.;;;;;;;;;;;;;;;;;;98.2%;;;;;1.8%;
;;48100;Natl Sec Commission Prep II;202620;Spring 2026;001;10544;Wild, Jason;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;19331;Wild, Jason;;;100.0%;;;;;;;;;;;;;;;;;;;;;
AGEC;AGEC-Agricultural Economics;20201;Intro To Data Analytics AGBS;202620;Spring 2026;001;10599;Tchuente Nguembu, Guy;11.6%;16.3%;31.4%;;3.5%;3.5%;11.6%;4.7%;3.5%;1.2%;2.3%;1.2%;2.3%;;4.7%;;;;;;;;2.3%;
;;20300;Microecon Food & Agbus;202620;Spring 2026;001;10549;Byrd, Elizabeth S.;39.9%;7.0%;29.1%;;7.0%;1.3%;5.1%;1.9%;;3.2%;;;1.3%;;2.5%;;;;;;;;1.9%;
;;;Microecon Food & Agbus-Honors;202620;Spring 2026;001;10549;Byrd, Elizabeth S.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;21700;Economics;202620;Spring 2026;001;10551;Moss, Leeann E.;24.1%;16.6%;35.2%;;5.5%;1.6%;10.3%;0.4%;;1.6%;;;2.8%;;1.2%;;;;;;;;0.8%;
;;;;;;Y01;57258;Moss, Leeann E.;16.0%;23.6%;28.1%;;9.0%;2.4%;15.2%;0.2%;0.6%;1.2%;0.2%;0.8%;0.2%;;1.2%;;;;;;;;1.2%;
;;;Economics-Honors;202620;Spring 2026;001;10551;Moss, Leeann E.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;Y01;57258;Moss, Leeann E.;;;75.0%;;;;;;;;;;;;;;;25.0%;;;;;;
;;22000;Econ Of Agricultural Markets;202620;Spring 2026;001;10554;Bauchet, Jonathan J.;37.3%;15.3%;15.3%;;5.1%;5.1%;3.4%;1.7%;3.4%;1.7%;1.7%;1.7%;1.7%;;5.1%;;;;;;;;1.7%;
;;25000;Econ Geog World Food;202620;Spring 2026;001;10555;Balagtas, Joseph V.;13.0%;13.0%;8.7%;;8.7%;21.7%;8.7%;;8.7%;4.3%;4.3%;;4.3%;;;;;;;;;;4.3%;
;;30300;Intermediate Applied Microecon;202620;Spring 2026;001;21621;Dalheimer, Hans Bernhard S.;35.3%;5.9%;35.3%;;5.9%;;;;;5.9%;;;5.9%;;5.9%;;;;;;;;;
;;31000;Farm Organization;202620;Spring 2026;001;10339;Byrd, Elizabeth S.;31.2%;19.2%;36.0%;;4.0%;1.6%;3.2%;0.8%;0.8%;1.6%;;;0.8%;;0.8%;;;;;;;;;
;;32700;Prin Of Food & Agribus Mrkt;202620;Spring 2026;001;10619;Kilders, Valerie;23.6%;11.1%;13.9%;;12.5%;2.8%;13.9%;2.8%;1.4%;1.4%;;2.8%;2.8%;;2.8%;;;;;;;;8.3%;
;;33000;Mgmt Methods Agr Bus;202620;Spring 2026;001;10561;Moss, Leeann E.;26.4%;14.9%;8.3%;;14.9%;1.7%;14.0%;5.0%;1.7%;2.5%;4.1%;;0.8%;;2.5%;;;;;;;;3.3%;
;;33100;Prin Of Industrial Selling;202620;Spring 2026;001;10562;Cochran, Amy L.;12.3%;17.4%;2.2%;;15.2%;10.9%;15.9%;5.1%;0.7%;4.3%;1.4%;;;;2.2%;;;;;;;;12.3%;
;;33300;Food Dist Retail Persp;202620;Spring 2026;001;64067;Wu, Steven Y.;21.9%;9.4%;6.3%;;18.8%;12.5%;;9.4%;3.1%;3.1%;3.1%;;;;;3.1%;;3.1%;;;;;6.3%;
;;35200;Tech For Firm Decision;202620;Spring 2026;003;10344;Pastor, Daniel J.;12.2%;13.3%;4.1%;;12.2%;7.1%;13.3%;6.1%;4.1%;11.2%;4.1%;;2.0%;;5.1%;;;;;;;;5.1%;
;;37500;Process Econ Research;202620;Spring 2026;001;11585;Bauchet, Jonathan J.;90.0%;;;;;;;;;;;;;;5.0%;;;;;;;;5.0%;
;;41000;Agricultural Policy;202620;Spring 2026;001;10567;Keeney, Roman M.;72.1%;8.2%;6.6%;;6.6%;4.9%;1.6%;;;;;;;;;;;;;;;;;
;;42100;Adv Commodity Marketing;202620;Spring 2026;001;10346;Mallory, Mindy L.;39.1%;21.7%;21.7%;;;4.3%;4.3%;;;;;;;;;;;8.7%;;;;;;
;;42400;Finan Mgt Agr Bus;202620;Spring 2026;001;43331;Byrd, Elizabeth S.;27.9%;27.9%;14.0%;;7.0%;2.3%;20.9%;;;;;;;;;;;;;;;;;
;;42500;Est Plan Prop Transfer;202620;Spring 2026;001;21624;Armstrong, Candace D.;28.8%;8.5%;54.2%;;1.7%;1.7%;3.4%;;;;;;1.7%;;;;;;;;;;;
;;42700;Adv Agribusn Marketing;202620;Spring 2026;001;35159;Van Loo, Ellen J.;46.2%;9.6%;30.8%;;3.8%;;3.8%;;1.9%;1.9%;;;;;;;;;;;;;1.9%;
;;42900;Agri-Marketing Analytics;202620;Spring 2026;002;10007;Wu, Steven Y.;31.8%;;4.5%;;9.1%;18.2%;9.1%;18.2%;4.5%;;4.5%;;;;;;;;;;;;;
;;43000;Agr&Food Bus Strategy;202620;Spring 2026;001;10577;Ellison, Brenna D.;32.3%;24.6%;;;13.8%;3.1%;12.3%;;;3.1%;3.1%;1.5%;;;3.1%;;;;;;;;3.1%;
;;45000;Internatl Agric Trade;202620;Spring 2026;001;10114;Dalheimer, Hans Bernhard S.;22.6%;17.0%;;;35.8%;5.7%;11.3%;1.9%;;;;;;;;;;5.7%;;;;;;
;;45100;Applied Econometrics;202620;Spring 2026;005;31540;Pastor, Daniel J.;20.0%;15.0%;20.0%;;;5.0%;5.0%;;;15.0%;;;;;5.0%;;;;;;;;15.0%;
;;49800;NAMA;202620;Spring 2026;013;22176;Williams, Jennifer L.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;52400;Agricultural Finance;202620;Spring 2026;001;10588;Moss, Leeann E.;70.0%;;20.0%;;;;;;;;;;;;;;;10.0%;;;;;;
;;69200;Workshop In Appl Econ;202620;Spring 2026;001;10140;Balagtas, Joseph V.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
AGR;AGR-Agriculture;29000;Intro To Ag Lead Pro;202620;Spring 2026;004;40715;Akridge, Jay T.;90.5%;;;;9.5%;;;;;;;;;;;;;;;;;;;
;;;Spring Into Purdue Agriculture;202620;Spring 2026;002;30190;Kerr, Timothy P.;71.2%;;;;21.2%;;;3.8%;;;;;;;1.9%;;;;;;;;1.9%;
;;29400;Directed Readings-Honors;202620;Spring 2026;H01;37230;Powers, Alyssa A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;33300;Data Science For Agriculture;202620;Spring 2026;001;27580;Zhang, Yaguang;30.0%;;40.0%;;15.0%;;10.0%;;;5.0%;;;;;;;;;;;;;;
;;;;;;003;40265;Zhang, Yaguang;20.8%;12.5%;33.3%;;;;4.2%;;;8.3%;;;;;4.2%;;;;;;;;16.7%;
;;59500;Res Fundmtls In The Era Of AI;202620;Spring 2026;001;42961;Buckmaster, Dennis R.;;;;;;;;;;;;;;;;;1.7%;85.0%;;;;;13.3%;
AGRY;AGRY-Agronomy;10500;Crop Production;202620;Spring 2026;008;10408;Gerber, Corey K.;40.0%;;;;32.0%;;;16.0%;;;4.0%;;;;8.0%;;;;;;;;;
;;;Crop Production-Honors;202620;Spring 2026;008;10408;Gerber, Corey K.;;;;;100.0%;;;;;;;;;;;;;;;;;;;
;;12500;Environmental Scienc & Conserv;202620;Spring 2026;001;10299;Adeniji, Adebola E.;20.0%;4.0%;4.0%;;16.0%;4.0%;12.0%;12.0%;4.0%;8.0%;;;4.0%;;8.0%;;;;;;;;4.0%;
;;25500;Soil Science;202620;Spring 2026;009;10701;Rahmani, Shams Rahman R.;48.2%;;;;18.4%;;8.8%;7.9%;;6.1%;2.6%;;4.4%;;1.8%;0.9%;;;;;;;0.9%;
;;;Soil Science-Honors;202620;Spring 2026;009;10701;Rahmani, Shams Rahman R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;27000;Forest Soils;202620;Spring 2026;004;10727;Rahmani, Shams Rahman R.;37.1%;;;;19.4%;;8.1%;11.3%;;9.7%;3.2%;;4.8%;;1.6%;;;;;;;;4.8%;
;;28500;Wrld Crp Adpt & Dstrbt;202620;Spring 2026;001;24336;Tuinstra, Mitchell R.;15.7%;15.7%;;;23.5%;13.7%;9.8%;3.9%;3.9%;7.8%;2.0%;;2.0%;;;;;;;;;;2.0%;
;;32000;Genetics;202620;Spring 2026;001;10747;Mohammadi, Mohsen;16.8%;12.5%;24.5%;;8.2%;7.6%;10.9%;6.0%;1.6%;6.5%;2.2%;;1.1%;;1.1%;;;;;;;;1.1%;
;;32100;Genetics Laboratory;202620;Spring 2026;002;10749;Allen, Sara L.;50.0%;28.6%;21.4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;10751;Schroedel, Tina;28.6%;28.6%;14.3%;;;7.1%;7.1%;7.1%;;;;;7.1%;;;;;;;;;;;
;;;;;;005;10752;Steigenga, Niels M.;23.1%;15.4%;15.4%;;;;23.1%;;;15.4%;;;;;;;;;;;;;7.7%;
;;;;;;008;10755;Steigenga, Niels M.;36.4%;9.1%;9.1%;;18.2%;;9.1%;9.1%;;;;;;;9.1%;;;;;;;;;
;;;;;;009;46773;Schroedel, Tina;57.1%;14.3%;7.1%;;;;14.3%;;7.1%;;;;;;;;;;;;;;;
;;;;;;010;55409;Trabert, Leonie M.;;9.1%;;;9.1%;9.1%;36.4%;;9.1%;18.2%;;;;;9.1%;;;;;;;;;
;;;;;;011;41247;Trabert, Leonie M.;30.8%;46.2%;7.7%;;;7.7%;;;;;;;;;7.7%;;;;;;;;;
;;33500;Weather And Climate;202620;Spring 2026;001;40290;Childs, Samuel J.;37.8%;22.2%;15.6%;;6.7%;6.7%;4.4%;;;;;;;;;;;4.4%;;;;;2.2%;
;;33700;Environmntal Hydrology;202620;Spring 2026;001;53096;Bowling, Laura C.;44.6%;6.2%;7.7%;;15.4%;1.5%;4.6%;1.5%;1.5%;6.2%;1.5%;;;;3.1%;3.1%;;;;;;;3.1%;
;;36500;Soil Fertility;202620;Spring 2026;006;10764;Bradford, Jeffrey T.;49.3%;;;;37.7%;;;10.1%;;;;;;;2.9%;;;;;;;;;
;;37500;Crop Production Systms;202620;Spring 2026;001;10769;Schweitzer, Lee E.;92.0%;;;;4.0%;;;4.0%;;;;;;;;;;;;;;;;
;;39900;Crop Prdctn Sys Of West Texas;202620;Spring 2026;022;15760;Bradford, Jeffrey T.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;51800;Plant Phys & Biotech Res Tech;202620;Spring 2026;001;37971;Zhang, Cankui;37.5%;12.5%;31.3%;6.3%;;;12.5%;;;;;;;;;;;;;;;;;
;;52500;Crop Physiol And Ecol;202620;Spring 2026;001;65527;Volenec, Jeffrey J.;17.1%;14.3%;;;17.1%;5.7%;5.7%;11.4%;2.9%;11.4%;2.9%;;2.9%;;;;;2.9%;;;;;5.7%;
;;54000;Soil Chemistry;202620;Spring 2026;001;40289;Johnston, Cliff T.;45.5%;27.3%;;;27.3%;;;;;;;;;;;;;;;;;;;
;;58000;Soil And Rhizosphere Microbiol;202620;Spring 2026;001;37710;Wilhelm, Roland C.;26.7%;33.3%;20.0%;6.7%;;;6.7%;;;;;;;;;;;;;;;;6.7%;
